content,discuss,id,share,support,time
#生图即精修系列#迪丽热巴这个话题必须要有迪丽热巴生图一绝期待电影《日月》嫦娥、电视剧《三生三世枕上书》凤九《爱情高级定制》周放 @Dear-迪丽热巴 ??,3860,喜欢傲娇迪,1204,52709,11月29日 12:30
女星旗袍造型一览：杨幂、唐嫣、倪妮、刘亦菲、刘诗诗、迪丽热巴、古力娜扎、戚薇、鞠婧祎，你觉得谁更????？ ??,434,影视评论人,323,392,今天14:59
迪丽热巴：我92年的！杨紫：我也是！离开滤镜后，两人相差10岁？ ??,281,深扒电影,146,1936,今天06:30
迪丽热巴 《爱情高级定制》路透，剧中状态怎么样？ ??,118,剧透少女朱碧萝,212,479,今天12:33
#世间罕见的美人骨# 美人骨，世间罕见。美人在骨不在皮，世人大多眼孔浅显，只见皮相，未见骨相。来欣赏一下迪丽热巴的美人骨吧！（cr：net，侵删） ??,1117,八组吃瓜少女,584,17031,11月30日 09:48
#迪丽热巴 蓝色人鱼裙# @Dear-迪丽热巴 小姐姐穿上这身亮片裙，真的像刚出海的美人鱼有木有？ ??,861,新浪电视,412,9506,40分钟前
"【这位90后反恐女孩超美！超酷！超厉害！】今天，央宝迷上一位新偶像，她常年战斗在反恐一线，几次与死神擦肩而过，刻苦训练超越极限。她就是新疆喀什警花迪丽热巴·牙合甫，是不是叫迪丽热巴都长得美？以后请叫我迪丽热巴·央宝，戳视频，致敬保家卫国的巾帼！（央视频号：特警训练营）  ??  展开全文c                
                    【这位90后反恐女孩超美！超酷！超厉害！】今天，央宝迷上一位新偶像，她常年战斗在反恐一线，几次与死神擦肩而过，刻苦训练超越极限。她就是新疆喀什警花迪丽热巴·牙合甫，是不是叫迪丽热巴都长得美？以后请叫我迪丽热巴·央宝，戳视频，致敬保家卫国的巾帼！（央视频号：特警训练营） L央视频的微博视频 收起全文d",45,央视频,131,454,今天09:30
#COSMO时尚美丽盛典# 又看到#迪丽热巴# 了 每一次都好美啊！！！好白好瘦好好看！！#热巴# L蟑螂恶霸61的微博视频 ??,127,蟑螂恶霸61,220,806,58分钟前
同是嘉行花，杨幂、迪丽热巴长裙背影动图，谁赢了 ??,528,吃瓜鹅组热议,244,4325,12月02日 07:34
#你好·新青年# “做演员不都这样吗？夏天穿棉袄，冬天泡冰水大家都是一样的状态，没什么苦不苦的”                                          ——迪丽热巴 ??,346,橘子新青年,68,1159,12月02日 08:51
"#壹家人# 【致敬致谢脱贫攻坚·慈善之星】他们是公众人物，是演员、是歌手，平时他们活跃在大屏幕上，一旦有公益的事情需要，他们鼎力相助，让更多人来了解公益，加入公益。感谢脱贫攻坚·慈善之星的壹家人：陈妍希、陈一冰、邓超、迪丽热巴、段奕宏、惠若琪、刘恺威、LPL（腾竞体育）、明道、孙俪、SIN ??  展开全文c                
                    #壹家人# 【致敬致谢脱贫攻坚·慈善之星】他们是公众人物，是演员、是歌手，平时他们活跃在大屏幕上，一旦有公益的事情需要，他们鼎力相助，让更多人来了解公益，加入公益。感谢脱贫攻坚·慈善之星的壹家人：陈妍希、陈一冰、邓超、迪丽热巴、段奕宏、惠若琪、刘恺威、LPL（腾竞体育）、明道、孙俪、SING女团、陶虹、文章、徐峥、杨幂、张彬彬、张云龙。2019年11月27日晚，“脱贫攻坚，壹起行动——壹基金2019壹家人慈善家宴”在深圳圆满落幕。壹基金回顾、汇报了近三年来在脱贫攻坚方面的工作成果，并对持续支持公益行动的壹家人致敬致谢。2016-2018年的三年期间，壹基金在贫困地区项目资金投入逐步加大，实施的七个项目，惠及超过了237个国家级贫困县。在系统总结过去三年参与扶贫工作和经验的基础上，壹基金将以更加明确的策略和投入更多资源来参与扶贫攻坚，切实解决好当地的扶贫攻坚难题，为扶贫攻坚贡献自己的一份力量。 收起全文d",255,壹基金,114,20140,今天15:52
迪丽热巴粉丝和郑爽粉丝开始battle，顶流花的较量！郑爽粉丝说迪丽热巴粉内涵郑爽整容，迪丽热巴粉丝说郑爽粉丝倒打一耙先内涵。目前郑爽也已全面回归事业，迪丽热巴也一直稳步前行，顶流小花的碰撞，你更看好哪位花 迪丽热巴、郑爽，你更看哪位花？ ??,940,吃瓜鹅每日搬,171,62213,12月01日 14:55
"迪丽热巴 热巴@Dear-迪丽热巴 即将亮相2019#COSMO时尚美丽盛典#，身着一袭蓝色曳地礼裙的小姐姐，像是刚刚出落地面的蓝色美人鱼，美到发光，肆意闪耀！一起期待今晚#时尚即传承# 的精彩时刻！@时尚COSMO 礼服：Jenny Packham SS20鞋子：Giuseppe Zanotti SS20珠宝： ??  展开全文c                
                    迪丽热巴 热巴@Dear-迪丽热巴 即将亮相2019#COSMO时尚美丽盛典#，身着一袭蓝色曳地礼裙的小姐姐，像是刚刚出落地面的蓝色美人鱼，美到发光，肆意闪耀！一起期待今晚#时尚即传承# 的精彩时刻！@时尚COSMO 礼服：Jenny Packham SS20鞋子：Giuseppe Zanotti SS20珠宝：@VanCleefArpels梵克雅宝妆发：@时尚造型师张进 造型：姜成皓@J·studio 摄影：@摄影师Ray王雷 收起全文d",5282,嘉行迪丽热巴工作室,4347,33295,今天18:15
迪丽热巴蓝色美人鱼 迪丽热巴#cosmo时尚盛典# 一袭蓝色曳地礼裙太美了@Dear-迪丽热巴  #迪丽热巴蓝色美人鱼##迪丽热巴 蓝色人鱼裙# ??,1254,星闻揭秘,653,12706,今天18:20
#cosmo时尚盛典# 迪丽热巴蓝色礼裙：迪丽热巴身穿蓝色曳地礼裙，太美了，美到发光！@Dear-迪丽热巴  #迪丽热巴 蓝色人鱼裙# ??,704,芒果影音,340,8698,今天18:27
迪丽热巴蓝色美人鱼 迪丽热巴#cosmo时尚盛典# 红毯迪丽热巴：觉得这条裙子比较好看，想要穿好看一点；偶尔会看粉丝评论，偶尔也会翻牌~#迪丽热巴蓝色美人鱼# #迪丽热巴 蓝色人鱼裙# O网页链接 ??,1983,星闻揭秘,1570,9213,今天18:51
#迪丽热巴 蓝色人鱼裙# 今晚cosmo盛典两位“人间富贵花”迪丽热巴和古力娜扎造型出炉，谁最打眼？ 谁最打眼？ ??,152,娱乐圈吃瓜鹅,115,1349,今天18:58
迪丽热巴妈呀！救命西域女神仙下凡了#cosmo时尚盛典# L笑容女王-Tina的微博视频 ??,10,笑容女王-Tina,6,162,今天18:51
